,Country,Area,Species
201,USA,Florida,Spinner shark
202,USA,Florida,Spinner sharkor blacktip shark
203,SPAIN,Alicante,Small shark
204,USA,Florida,Bull shark
205,AUSTRALIA,Western Australia,Shark
206,USA,Florida,Bull shark
207,USA,Louisiana,Bull shark
208,SOUTH AFRICA,Western Cape Province,White shark
209,USA,North Carolina,Tiger shark
210,REUNION,Saint-Leu,Tre shark
211,SPAIN,Canary Islands,Gel shark
212,USA,California,White shark
213,BAHAMAS,Abaco Islands,Caribbean reef shark
214,AUSTRALIA,Western Australia,Lemon shark
215,USA,Delaware,Sandbar shark
216,AUSTRALIA,South Australia,Bronze whaler shark
217,USA,Florida,Bull shark
218,USA,Palmyra Atoll,Blacktip reef shark
219,AUSTRALIA,Queensland,Bull shark
220,AUSTRALIA,New South Wales,Tawney nurse shark
221,AUSTRALIA,South Australia,White shark
222,SOUTH AFRICA,Western Cape Province,Cow shark
223,AUSTRALIA,Western Australia,Shark
224,SOUTH AFRICA,Eastern Cape Province,Raggedtooth shark
225,AUSTRALIA,New South Wales,White shark
226,AUSTRALIA,New South Wales,Wobbegong shark
227,USA,Florida,Spinner shark
228,FRENCH POLYNESIA,Society Islands,Blacktip reef shark
229,NEW ZEALAND,South Island,-gill shark
230,NEW ZEALAND,South Island,-gill shark
231,USA,Hawaii,Oceanic whitetip shark
232,NEW CALEDONIA,North Province,Bull shark
233,SOUTH AFRICA,Western Cape Province,White shark
234,USA,Hawaii,Tiger shark
235,AUSTRALIA,New South Wales,Wobbegong shark
236,AUSTRALIA,New South Wales,Tiger shark
237,AUSTRALIA,Western Australia,White shark
238,USA,Oregon,White shark
239,AUSTRALIA,Western Australia,White shark
240,USA,Hawaii,Tiger shark
241,AUSTRALIA,Western Australia,Blacktip reef shark
242,REUNION,dÉtang-Salé,Bull shark
243,AUSTRALIA,Western Australia,White shark
244,AUSTRALIA,New South Wales,Wobbegong shark
245,USA,Hawaii,Whitetip reef shark
246,USA,Hawaii,Tiger shark
247,USA,Florida,Nurse shark
248,SOUTH AFRICA,Eastern Cape Province,White shark
249,AUSTRALIA,Western Australia,White shark
250,USA,California,White shark
251,USA,Florida,Small bull shark
252,USA,Florida,Bull shark
253,USA,Florida,Nurse shark
254,USA,California,Salmon shark
255,FRANCE,Bay of Biscay,Mako shark
256,USA,California,White shark
257,USA,Hawaii,Tiger shark
258,USA,South Carolina,Bull shark
259,USA,Florida,Bull shark
260,USA,Hawaii,Tiger shark
261,BAHAMAS,Exuma Islands,Nurse shark
262,USA,California,White shark
263,USA,Florida,Bull shark
264,USA,Hawaii,Tiger shark
265,USA,Florida,Lemon shark
266,USA,Hawaii,Galapagos shark
267,ECUADOR,Santa Cruz Island,Galapagos shark
268,REUNION,Saint-Gilles,Bull shark
269,MEXICO,Quintana Roo,Tiger shark
270,AUSTRALIA,New South Wales,Grey nurse shark
271,SOUTH AFRICA,Western Cape Province,Blue shark
272,USA,Florida,Bull shark
273,FRENCH POLYNESIA,Tuamotus,Blacktip reef shark
274,SOUTH AFRICA,Western Cape Province,Raggedtooth shark
275,JAMAICA,St. Catherine,Tiger shark
276,AUSTRALIA,Western Australia,Bronze whaler shark
277,PHILIPPINES,Palawan,Small shark
278,NEW ZEALAND,North Island,White shark
279,USA,Hawaii,Shark
280,USA,Hawaii,Shark
281,USA,Florida,Blacktip shark
282,FRENCH POLYNESIA,Society Islands,Lemon shark
283,AUSTRALIA,Victoria,White shark
284,USA,Hawaii,Tiger shark
285,NEW ZEALAND,Mercury Islands,Bronze whaler shark
286,AUSTRALIA,New South Wales,Bull shark
287,SOUTH AFRICA,Eastern Cape Province,Tiger shark
288,AUSTRALIA,Western Australia,Tiger shark
289,AUSTRALIA,New South Wales,Sandtiger shark
290,NEW ZEALAND,South Island,Seven-gill shark
291,USA,Hawaii,Tiger shark
292,USA,Hawaii,Tiger shark
293,USA,Hawaii,Tiger shark
294,USA,California,White shark
295,USA,Hawaii,Tiger shark
296,USA,California,White shark
297,TONGA,Vava'u,Bull shark
298,USA,Hawaii,Tiger shark
299,SCOTLAND,Inner Hebrides,Porbeagle shark
300,USA,Florida,Lemon shark
301,REUNION,Saint Leu,Bull shark
302,FRENCH POLYNESIA,Tuamotus,Lemon shark
303,AUSTRALIA,South Australia,White shark
304,USA,Massachusetts,White shark
305,CANADA,British Colombia,Salmon shark
306,AUSTRALIA,Western Australia,White shark
307,USA,Florida,Bull shark
308,USA,Hawaii,Small reef shark
309,USA,Florida,Nurse shark
310,USA,South Carolina,Small blacktip shark
311,USA,South Carolina,Small blacktip shark
312,USA,South Carolina,Blacktip shark
313,ITALY,Sardinia,Blue shark
314,AUSTRALIA,New South Wales,White shark
315,MEXICO,Guerrero,Bull shark
316,USA,Hawaii,Tiger shark
317,USA,California,White shark
318,USA,California,White shark
319,SOUTH AFRICA,Western Cape Province,White shark
320,AUSTRALIA,South Australia,White shark
321,USA,Hawaii,Tiger shark
322,AUSTRALIA,Western Australia,White shark
323,AUSTRALIA,Western Australia,White shark
324,AUSTRALIA,Queensland,Bull shark
325,USA,Florida,Bull shark
326,AUSTRALIA,Victoria,Tawny nurse shark
327,USA,Florida,Spinner shark
328,AUSTRALIA,New South Wales,Grey nurse shark
329,SOUTH AFRICA,Western Cape Province,White shark
330,AUSTRALIA,Western Australia,Tiger shark
331,TAIWAN,Taitung ,Blue shark-kg blue shark
332,AUSTRALIA,New South Wales,White shark
333,SOUTH AFRICA,Eastern Cape Province,Bull shark
334,USA,Oregon,White shark
335,AUSTRALIA,Queensland,Tiger shark
336,AUSTRALIA,New South Wales,White shark
337,AUSTRALIA,New South Wales,Wobbegong shark
338,AUSTRALIA,Queensland,Wobbegong shark
339,USA,California,White shark
340,USA,California,White shark
341,SOUTH AFRICA,KwaZulu-Natal,Raggedtooth shark
342,AUSTRALIA,Western Australia,White shark
343,USA,Oregon,White shark
344,AUSTRALIA,Victoria,Port jackson shark
345,SOUTH AFRICA,Western Cape Province,White shark
346,USA,Florida,Bull shark
347,PAPUA NEW GUINEA,Central Province,Tiger shark
348,AUSTRALIA,Western Australia,White shark
349,USA,Florida,Sharkor spinner shark
350,SOUTH AFRICA,Western Cape Province,White shark
351,USA,North Carolina,Sandtiger shark
352,FRENCH POLYNESIA,Society Islands,Grey reef shark
353,SEYCHELLES,Praslin,Bull shark
354,SOUTH AFRICA,Eastern Cape Province,White shark
355,SOUTH AFRICA,KwaZulu-Natal,Bull shark
356,USA,North Carolina,Bull shark
357,USA,California,White shark
358,UNITED KINGDOM,Cornwall,Oceanic whitetip shark
359,USA,Florida,Blacktip shark
360,USA,California,Sevengill shark
361,MALAYSIA,Kedah,Blacktip reef shark
362,SOUTH AFRICA,Western Cape Province,White shark
363,USA,Hawaii,Tiger shark
364,USA,Hawaii,Tiger shark
