,Country,Area,Species
1699,SOUTH AFRICA,KwaZulu-Natal,White shark
1700,SOUTH AFRICA,KwaZulu-Natal,White shark
1701,GREECE,Corfu Island,White shark
1702,GREECE,Corfu Island,White shark
1703,AUSTRALIA,New South Wales,Wobbegong shark
1704,AUSTRALIA,Queensland,Nurse shark
1705,AUSTRALIA,New South Wales,Wobbegong shark
1706,AUSTRALIA,Queensland,White shark
1707,USA,California,White shark
1708,EL SALVADOR, La Libertad,-lb shark
1709,AUSTRALIA,South Australia,White shark
1710,USA,Texas,Hammerhead shark
1711,USA,New York,Sand shark
1712,ITALY,Tyrrhenian Sea,White shark
1713,AUSTRALIA,Western Australia,Small carpet shark
1714,SOUTH AFRICA,KwaZulu-Natal,White shark
1715,AUSTRALIA,Tasmania,White shark
1716,SRI LANKA,Eastern Province,Lemon shark
1717,SRI LANKA,Southern Province,Whtietip reef shark
1718,INDONESIA,Jakarta Harbour,Tiger shark
1719,USA,Hawaii,White shark
1720,AUSTRALIA,Victoria,Grey nurse shark
1721,USA,California,Bonita shark
1722,AUSTRALIA,Western Australia,Whaler shark
1723,AUSTRALIA,New South Wales,White shark
1724,ITALY,Tyrrhenian Sea,White shark
1725,AUSTRALIA,Western Australia,Tiger shark
1726,BAHAMAS,Bimini Islands,Lemon shark
1727,PAPUA NEW GUINEA,"New Ireland Province, Bismarck Archipelago",Grey shark
1728,USA,Florida,Nurse shark
1729,AUSTRALIA,New South Wales,Grey nurse shark
1730,AUSTRALIA,New South Wales,Tiger shark
1731,SOUTH AFRICA,KwaZulu-Natal,-kg shark
1732,SOUTH AFRICA,KwaZulu-Natal,Blacktip shark
1733,AUSTRALIA,South Australia,Shark
1734,AUSTRALIA,Western Australia,White shark
1735,AUSTRALIA,Queensland,Small shark
1736,SOUTH AFRICA,KwaZulu-Natal,Zambesi shark
1737,IRAQ,Basrah,Bull shark
1738,USA,Florida,Tiger shark
1739,SOUTH AFRICA,Western Cape Province,White shark
1740,USA,Florida,Blacktip sharkor spinner shark
1741,PANAMA,Caribbean Sea,White shark
1742,NICARAGUA,Lake Nicaragua (fresh water),Bull shark
1743,PANAMA,Gulf of Panama,White shark
1744,AUSTRALIA,Tasmania,White shark
1745,USA,Hawaii,Small shark
1746,USA,Hawaii,Small shark
1747,AUSTRALIA,New South Wales,Bull shark
